ID,CODIGO,DESCRIÇÃO DOS SERVIÇOS,QUANTIDADE,PREÇO UNITÁRIO,UNIDADE,PREÇO TOTAL
559400,5298-0500-1,PB Classe LFO,"8,55","R$ 108,55",PO,"R$ 928,54"
559400,5298-0584-7,PB Classe CFO,"7,14","R$ 266,63",PO,"R$ 1.903,74"
566939,5298-0500-1,PB Classe LFO,"44,40","R$ 108,55",PO,"R$ 4.819,62"
566939,5298-0584-7,PB Classe CFO,"3,99","R$ 266,63",PO,"R$ 1.063,85"
566939,5298-0587-1,PB Classe L,"24,00","R$ 76,86",PO,"R$ 1.844,64"
566939,5298-0589-8,PB Classe P,"5,63","R$ 77,76",PP,"R$ 437,40"
559398,5298-0500-1,PB Classe LFO,"11,46","R$ 108,55",PO,"R$ 1.243,55"
559398,5298-0584-7,PB Classe CFO,"4,71","R$ 266,63",PO,"R$ 1.255,83"
565633,5298-0500-1,PB Classe LFO,"23,08","R$ 108,55",PO,"R$ 2.505,33"
565633,5298-0584-7,PB Classe CFO,"5,70","R$ 266,63",PO,"R$ 1.519,79"
551303,5298-0500-1,PB Classe LFO,"2,29","R$ 108,55",PO,"R$ 248,58"
551303,5298-0584-7,PB Classe CFO,"4,97","R$ 266,63",PO,"R$ 1.325,15"
555993,5298-0500-1,PB Classe LFO,"37,75","R$ 89,08",PO,"R$ 3.362,77"
555993,5298-0584-7,PB Classe CFO,"5,59","R$ 199,16",PO,"R$ 1.113,30"
582525,5298-0500-1,PB Classe LFO,"8,45","R$ 109,59",PO,"R$ 925,49"
582525,5298-0584-7,PB Classe CFO,"1,66","R$ 269,19",PO,"R$ 446,86"
582525,5298-0589-8,PB Classe P,"3,36","R$ 78,50",PP,"R$ 263,47"
569910,5298-0500-1,PB Classe LFO,"13,60","R$ 108,55",PO,"R$ 1.476,28"
569910,5298-0584-7,PB Classe CFO,"6,04","R$ 266,63",PO,"R$ 1.610,45"
569910,5298-0589-8,PB Classe P,"1,88","R$ 77,76",PP,"R$ 145,80"
564737,5298-0500-1,PB Classe LFO,"10,19","R$ 108,55",PO,"R$ 1.106,34"
564737,5298-0584-7,PB Classe CFO,"3,59","R$ 266,63",PO,"R$ 957,20"
557027,5298-0500-1,PB Classe LFO,"35,73","R$ 108,55",PO,"R$ 3.878,49"
